hour,tps,pods,service
2024-03-06 06:00:00,55.60000000000001,42.0,bolt
2024-03-06 07:00:00,176.4,8.0,bolt
2024-03-06 08:00:00,185.3,8.0,bolt
2024-03-06 09:00:00,180.4,8.0,bolt
2024-03-06 10:00:00,55.2,8.0,bolt
2024-03-06 11:00:00,55.2,8.0,bolt
2024-03-06 12:00:00,278.4,8.0,bolt
2024-03-06 13:00:00,185.7,8.0,bolt
2024-03-06 14:00:00,170.7,8.0,bolt
2024-03-06 15:00:00,167.7,8.0,bolt
2024-03-06 16:00:00,214.7,8.0,bolt
2024-03-06 17:00:00,142.3,8.0,bolt
2024-03-06 18:00:00,144.2,8.0,bolt
2024-03-06 19:00:00,137.6,8.0,bolt
2024-03-06 20:00:00,131.8,8.0,bolt
2024-03-06 21:00:00,175.0,8.0,bolt
2024-03-06 22:00:00,108.3,8.0,bolt
2024-03-06 23:00:00,100.3,8.0,bolt
2024-03-07 00:00:00,99.7,8.0,bolt
2024-03-07 01:00:00,125.9,8.0,bolt
2024-03-07 02:00:00,82.6,8.0,bolt
2024-03-07 03:00:00,79.7,8.0,bolt
2024-03-07 04:00:00,79.9,8.0,bolt
2024-03-07 05:00:00,107.1,8.0,bolt
2024-03-07 06:00:00,78.8,8.0,bolt
2024-03-07 07:00:00,76.7,8.0,bolt
2024-03-07 08:00:00,77.69999999999999,8.0,bolt
2024-03-07 09:00:00,108.0,8.0,bolt
2024-03-07 10:00:00,81.20000000000002,8.0,bolt
2024-03-07 11:00:00,78.2,8.0,bolt
2024-03-07 12:00:00,82.30000000000001,8.0,bolt
2024-03-07 13:00:00,101.5,8.0,bolt
2024-03-07 14:00:00,75.0,8.0,bolt
2024-03-07 15:00:00,81.1,8.0,bolt
2024-03-07 16:00:00,88.5,8.0,bolt
2024-03-07 17:00:00,113.7,8.0,bolt
2024-03-07 18:00:00,76.9,8.0,bolt
2024-03-07 19:00:00,95.4,8.0,bolt
2024-03-07 20:00:00,78.6,8.0,bolt
2024-03-07 21:00:00,91.5,8.0,bolt
2024-03-07 22:00:00,68.6,8.0,bolt
2024-03-07 23:00:00,66.0,8.0,bolt
2024-03-08 00:00:00,56.5,8.0,bolt
2024-03-08 01:00:00,71.3,8.0,bolt
2024-03-08 02:00:00,49.1,8.0,bolt
2024-03-08 03:00:00,49.1,8.0,bolt
2024-03-08 04:00:00,50.0,8.0,bolt
2024-03-08 05:00:00,65.8,8.0,bolt
2024-03-08 06:00:00,49.7,8.0,bolt
2024-03-08 07:00:00,57.1,8.0,bolt
2024-03-08 08:00:00,58.6,8.0,bolt
2024-03-08 09:00:00,74.9,8.0,bolt
2024-03-08 10:00:00,69.3,8.0,bolt
2024-03-08 11:00:00,69.1,8.0,bolt
2024-03-08 12:00:00,70.0,8.0,bolt
2024-03-08 13:00:00,78.2,8.0,bolt
2024-03-08 14:00:00,70.1,8.0,bolt
2024-03-08 15:00:00,65.8,8.0,bolt
2024-03-08 16:00:00,76.6,8.0,bolt
2024-03-08 17:00:00,171.8,8.0,bolt
2024-03-08 18:00:00,72.2,8.0,bolt
2024-03-08 19:00:00,117.4,8.0,bolt
2024-03-08 20:00:00,146.7,8.0,bolt
2024-03-08 21:00:00,75.19999999999999,8.0,bolt
2024-03-08 22:00:00,68.3,8.0,bolt
2024-03-08 23:00:00,63.9,8.0,bolt
2024-03-09 00:00:00,56.1,8.0,bolt
2024-03-09 01:00:00,54.6,8.0,bolt
2024-03-09 02:00:00,50.2,8.0,bolt
2024-03-09 03:00:00,46.6,8.0,bolt
2024-03-09 04:00:00,47.7,8.0,bolt
2024-03-09 05:00:00,53.2,8.0,bolt
2024-03-09 06:00:00,48.8,8.0,bolt
2024-03-09 07:00:00,56.1,8.0,bolt
2024-03-09 08:00:00,54.39999999999999,8.0,bolt
2024-03-09 09:00:00,60.60000000000001,10.0,bolt
2024-03-09 10:00:00,62.5,12.0,bolt
2024-03-09 11:00:00,66.8,10.0,bolt
2024-03-09 12:00:00,63.2,10.0,bolt
2024-03-09 13:00:00,93.4,10.0,bolt
2024-03-09 14:00:00,60.4,10.0,bolt
2024-03-09 15:00:00,69.7,10.0,bolt
2024-03-09 16:00:00,97.9,10.0,bolt
2024-03-09 17:00:00,134.70000000000002,10.0,bolt
2024-03-09 18:00:00,73.1,10.0,bolt
2024-03-09 19:00:00,105.6,10.0,bolt
2024-03-09 20:00:00,72.4,10.0,bolt
2024-03-09 21:00:00,67.6,10.0,bolt
2024-03-09 22:00:00,57.3,10.0,bolt
2024-03-09 23:00:00,56.8,10.0,bolt
2024-03-10 00:00:00,51.89999999999999,10.0,bolt
2024-03-10 01:00:00,50.4,10.0,bolt
2024-03-10 02:00:00,47.3,10.0,bolt
2024-03-10 03:00:00,46.5,10.0,bolt
2024-03-10 04:00:00,42.400000000000006,10.0,bolt
2024-03-10 05:00:00,44.900000000000006,10.0,bolt
2024-03-10 06:00:00,45.0,10.0,bolt
2024-03-10 07:00:00,44.7,10.0,bolt
2024-03-10 08:00:00,46.0,10.0,bolt
2024-03-10 09:00:00,54.5,10.0,bolt
2024-03-10 10:00:00,54.2,10.0,bolt
2024-03-10 11:00:00,55.0,10.0,bolt
2024-03-10 12:00:00,54.6,10.0,bolt
2024-03-10 13:00:00,61.3,10.0,bolt
2024-03-10 14:00:00,76.3,10.0,bolt
2024-03-10 15:00:00,85.5,10.0,bolt
2024-03-10 16:00:00,81.5,10.0,bolt
2024-03-10 17:00:00,94.5,10.0,bolt
2024-03-10 18:00:00,86.5,10.0,bolt
2024-03-10 19:00:00,77.1,10.0,bolt
2024-03-10 20:00:00,102.3,10.0,bolt
2024-03-10 21:00:00,83.4,10.0,bolt
2024-03-10 22:00:00,71.3,10.0,bolt
2024-03-10 23:00:00,71.7,10.0,bolt
2024-03-11 00:00:00,61.6,10.0,bolt
2024-03-11 01:00:00,59.39999999999999,10.0,bolt
2024-03-11 02:00:00,54.5,10.0,bolt
2024-03-11 03:00:00,45.4,10.0,bolt
2024-03-11 04:00:00,38.9,10.0,bolt
2024-03-11 05:00:00,45.2,10.0,bolt
2024-03-11 06:00:00,40.60000000000001,10.0,bolt
2024-03-11 07:00:00,42.9,10.0,bolt
2024-03-11 08:00:00,45.4,10.0,bolt
2024-03-11 09:00:00,55.7,10.0,bolt
2024-03-11 10:00:00,67.0,10.0,bolt
2024-03-11 11:00:00,74.5,10.0,bolt
2024-03-11 12:00:00,92.5,10.0,bolt
2024-03-11 13:00:00,84.3,10.0,bolt
2024-03-11 14:00:00,190.7,10.0,bolt
2024-03-11 15:00:00,303.5,10.0,bolt
2024-03-11 16:00:00,418.1,10.0,bolt
2024-03-11 17:00:00,171.2,10.0,bolt
2024-03-11 18:00:00,126.4,10.0,bolt
2024-03-11 19:00:00,199.6,10.0,bolt
2024-03-11 20:00:00,102.5,10.0,bolt
2024-03-11 21:00:00,117.5,10.0,bolt
2024-03-11 22:00:00,128.9,10.0,bolt
2024-03-11 23:00:00,94.9,10.0,bolt
2024-03-12 00:00:00,89.9,10.0,bolt
2024-03-12 01:00:00,71.0,10.0,bolt
2024-03-12 02:00:00,64.1,10.0,bolt
2024-03-12 03:00:00,48.10000000000001,10.0,bolt
2024-03-12 04:00:00,50.7,10.0,bolt
2024-03-12 05:00:00,46.8,10.0,bolt
2024-03-12 06:00:00,47.5,10.0,bolt
2024-03-12 07:00:00,45.5,10.0,bolt
2024-03-12 08:00:00,46.8,10.0,bolt
2024-03-12 09:00:00,63.7,10.0,bolt
2024-03-12 10:00:00,68.1,10.0,bolt
2024-03-12 11:00:00,70.9,10.0,bolt
2024-03-12 12:00:00,70.7,10.0,bolt
2024-03-12 13:00:00,84.4,10.0,bolt
2024-03-12 14:00:00,127.0,10.0,bolt
2024-03-12 15:00:00,237.5,10.0,bolt
2024-03-12 16:00:00,338.0,10.0,bolt
2024-03-12 17:00:00,154.1,10.0,bolt
2024-03-12 18:00:00,120.4,10.0,bolt
2024-03-12 19:00:00,122.7,10.0,bolt
2024-03-12 20:00:00,113.9,10.0,bolt
2024-03-12 21:00:00,142.20000000000002,10.0,bolt
2024-03-12 22:00:00,94.5,10.0,bolt
2024-03-12 23:00:00,108.8,10.0,bolt
2024-03-13 00:00:00,82.8,10.0,bolt
2024-03-13 01:00:00,66.4,10.0,bolt
2024-03-13 02:00:00,63.4,10.0,bolt
2024-03-13 03:00:00,48.5,10.0,bolt
2024-03-13 04:00:00,42.5,10.0,bolt
2024-03-13 05:00:00,43.6,10.0,bolt
2024-03-13 06:00:00,42.8,10.0,bolt
2024-03-13 07:00:00,47.599999999999994,10.0,bolt
2024-03-13 08:00:00,45.3,10.0,bolt
2024-03-13 09:00:00,58.0,10.0,bolt
2024-03-13 10:00:00,69.7,10.0,bolt
2024-03-13 11:00:00,71.8,10.0,bolt
2024-03-13 12:00:00,72.69999999999999,10.0,bolt
2024-03-13 13:00:00,74.80000000000001,10.0,bolt
2024-03-13 14:00:00,128.0,10.0,bolt
2024-03-13 15:00:00,233.0,10.0,bolt
2024-03-13 16:00:00,322.2,10.0,bolt
2024-03-13 17:00:00,140.0,10.0,bolt
2024-03-13 18:00:00,94.9,10.0,bolt
2024-03-13 19:00:00,118.4,10.0,bolt
2024-03-13 20:00:00,139.3,10.0,bolt
2024-03-13 21:00:00,92.5,10.0,bolt
2024-03-13 22:00:00,91.2,10.0,bolt
2024-03-13 23:00:00,87.9,10.0,bolt
2024-03-14 00:00:00,78.6,10.0,bolt
2024-03-14 01:00:00,75.0,10.0,bolt
2024-03-14 02:00:00,94.5,10.0,bolt
2024-03-14 03:00:00,49.0,10.0,bolt
2024-03-14 04:00:00,44.8,10.0,bolt
2024-03-14 05:00:00,43.9,10.0,bolt
2024-03-14 06:00:00,46.89999999999999,10.0,bolt
2024-03-14 07:00:00,49.8,10.0,bolt
2024-03-14 08:00:00,46.5,10.0,bolt
2024-03-14 09:00:00,56.4,10.0,bolt
2024-03-14 10:00:00,59.900000000000006,10.0,bolt
2024-03-14 11:00:00,67.9,10.0,bolt
2024-03-14 12:00:00,65.5,10.0,bolt
2024-03-14 13:00:00,477.2999999999999,10.0,bolt
2024-03-14 14:00:00,103.8,10.0,bolt
2024-03-14 15:00:00,189.7,10.0,bolt
2024-03-14 16:00:00,293.5,10.0,bolt
2024-03-14 17:00:00,114.9,10.0,bolt
2024-03-14 18:00:00,99.5,10.0,bolt
2024-03-14 19:00:00,108.9,10.0,bolt
2024-03-14 20:00:00,90.4,10.0,bolt
2024-03-14 21:00:00,93.1,10.0,bolt
2024-03-14 22:00:00,95.8,10.0,bolt
2024-03-14 23:00:00,99.5,10.0,bolt
2024-03-15 00:00:00,95.1,10.0,bolt
2024-03-15 01:00:00,78.9,10.0,bolt
2024-03-15 02:00:00,75.19999999999999,10.0,bolt
2024-03-15 03:00:00,64.0,10.0,bolt
2024-03-15 04:00:00,55.8,10.0,bolt
2024-03-15 05:00:00,46.3,10.0,bolt
2024-03-15 06:00:00,45.60000000000001,10.0,bolt
2024-03-15 07:00:00,50.60000000000001,10.0,bolt
2024-03-15 08:00:00,52.2,10.0,bolt
2024-03-15 09:00:00,67.1,10.0,bolt
2024-03-15 10:00:00,78.1,10.0,bolt
2024-03-15 11:00:00,73.6,10.0,bolt
2024-03-15 12:00:00,73.6,10.0,bolt
2024-03-15 13:00:00,78.3,10.0,bolt
2024-03-15 14:00:00,111.7,10.0,bolt
2024-03-15 15:00:00,190.9,10.0,bolt
2024-03-15 16:00:00,343.2,10.0,bolt
2024-03-15 17:00:00,164.90000000000003,10.0,bolt
2024-03-15 18:00:00,116.2,10.0,bolt
2024-03-15 19:00:00,115.7,10.0,bolt
2024-03-15 20:00:00,88.3,10.0,bolt
2024-03-15 21:00:00,114.0,10.0,bolt
2024-03-15 22:00:00,97.8,10.0,bolt
2024-03-15 23:00:00,97.6,10.0,bolt
2024-03-16 00:00:00,98.8,10.0,bolt
2024-03-16 01:00:00,90.4,10.0,bolt
2024-03-16 02:00:00,74.4,10.0,bolt
2024-03-16 03:00:00,60.099999999999994,10.0,bolt
2024-03-16 04:00:00,58.8,10.0,bolt
2024-03-16 05:00:00,61.1,10.0,bolt
2024-03-16 06:00:00,63.9,10.0,bolt
2024-03-16 07:00:00,42.7,10.0,bolt
2024-03-16 08:00:00,54.3,10.0,bolt
2024-03-16 09:00:00,60.5,10.0,bolt
2024-03-16 10:00:00,64.0,10.0,bolt
2024-03-16 11:00:00,75.4,10.0,bolt
2024-03-16 12:00:00,78.0,10.0,bolt
2024-03-16 13:00:00,79.2,10.0,bolt
2024-03-16 14:00:00,108.0,10.0,bolt
2024-03-16 15:00:00,189.2,10.0,bolt
2024-03-16 16:00:00,298.5,10.0,bolt
2024-03-16 17:00:00,147.3,10.0,bolt
2024-03-16 18:00:00,113.5,10.0,bolt
2024-03-16 19:00:00,97.6,10.0,bolt
2024-03-16 20:00:00,100.7,10.0,bolt
2024-03-16 21:00:00,117.9,10.0,bolt
2024-03-16 22:00:00,107.1,10.0,bolt
2024-03-16 23:00:00,105.6,10.0,bolt
2024-03-17 00:00:00,87.5,10.0,bolt
2024-03-17 01:00:00,77.1,10.0,bolt
2024-03-17 02:00:00,68.3,10.0,bolt
2024-03-17 03:00:00,57.1,10.0,bolt
2024-03-17 04:00:00,53.0,10.0,bolt
2024-03-17 05:00:00,46.7,10.0,bolt
2024-03-17 06:00:00,46.8,10.0,bolt
